id,name,group,source_page,column_index,row_index,crop_center_xy,bbox_square_xyxy,raw_crop_path,icon_128_path
041,奇丽草,group_033-048,001-064,3,9,,"[821, 844, 937, 960]",raw_crops/group_033-048/041_奇丽草.png,icons_128/group_033-048/041_奇丽草.png
042,奇丽叶,group_033-048,001-064,3,10,,"[820, 943, 942, 1065]",raw_crops/group_033-048/042_奇丽叶.png,icons_128/group_033-048/042_奇丽叶.png
043,奇丽花,group_033-048,001-064,3,11,,"[820, 1051, 942, 1173]",raw_crops/group_033-048/043_奇丽花.png,icons_128/group_033-048/043_奇丽花.png
044,丢丢,group_033-048,001-064,3,12,,"[829, 1175, 932, 1278]",raw_crops/group_033-048/044_丢丢.png,icons_128/group_033-048/044_丢丢.png
045,卡卡虫,group_033-048,001-064,3,13,,"[825, 1274, 936, 1385]",raw_crops/group_033-048/045_卡卡虫.png,icons_128/group_033-048/045_卡卡虫.png
046,卡瓦重,group_033-048,001-064,3,14,,"[822, 1376, 939, 1493]",raw_crops/group_033-048/046_卡瓦重.png,icons_128/group_033-048/046_卡瓦重.png
047,护主犬,group_033-048,001-064,3,15,,"[828, 1493, 934, 1599]",raw_crops/group_033-048/047_护主犬.png,icons_128/group_033-048/047_护主犬.png
048,音速犬,group_033-048,001-064,3,16,,"[825, 1595, 936, 1706]",raw_crops/group_033-048/048_音速犬.png,icons_128/group_033-048/048_音速犬.png
049,绿耳松鼠,group_049-064,001-064,4,1,,"[1137, 3, 1245, 111]",raw_crops/group_049-064/049_绿耳松鼠.png,icons_128/group_049-064/049_绿耳松鼠.png
050,抱枕松鼠,group_049-064,001-064,4,2,,"[1129, 104, 1246, 221]",raw_crops/group_049-064/050_抱枕松鼠.png,icons_128/group_049-064/050_抱枕松鼠.png
051,蹦床松鼠,group_049-064,001-064,4,3,,"[1126, 202, 1252, 328]",raw_crops/group_049-064/051_蹦床松鼠.png,icons_128/group_049-064/051_蹦床松鼠.png
052,嘟嘟煲,group_049-064,001-064,4,4,,"[1138, 322, 1246, 430]",raw_crops/group_049-064/052_嘟嘟煲.png,icons_128/group_049-064/052_嘟嘟煲.png
053,嘟嘟锅,group_049-064,001-064,4,5,,"[1134, 422, 1249, 537]",raw_crops/group_049-064/053_嘟嘟锅.png,icons_128/group_049-064/053_嘟嘟锅.png
054,小灵面,group_049-064,001-064,4,6,,"[1140, 541, 1244, 645]",raw_crops/group_049-064/054_小灵面.png,icons_128/group_049-064/054_小灵面.png
055,暗影灵面,group_049-064,001-064,4,7,,"[1138, 646, 1245, 753]",raw_crops/group_049-064/055_暗影灵面.png,icons_128/group_049-064/055_暗影灵面.png
056,幽冥眼,group_049-064,001-064,4,8,,"[1136, 748, 1248, 860]",raw_crops/group_049-064/056_幽冥眼.png,icons_128/group_049-064/056_幽冥眼.png
057,梦游,group_049-064,001-064,4,9,,"[1142, 855, 1245, 958]",raw_crops/group_049-064/057_梦游.png,icons_128/group_049-064/057_梦游.png
058,梦悠悠,group_049-064,001-064,4,10,,"[1127, 954, 1245, 1072]",raw_crops/group_049-064/058_梦悠悠.png,icons_128/group_049-064/058_梦悠悠.png
059,兽花蕾,group_049-064,001-064,4,11,,"[1132, 1060, 1252, 1180]",raw_crops/group_049-064/059_兽花蕾.png,icons_128/group_049-064/059_兽花蕾.png
060,伏地兽,group_049-064,001-064,4,12,,"[1143, 1177, 1245, 1279]",raw_crops/group_049-064/060_伏地兽.png,icons_128/group_049-064/060_伏地兽.png
061,贪食鼹,group_049-064,001-064,4,13,,"[1140, 1278, 1247, 1385]",raw_crops/group_049-064/061_贪食鼹.png,icons_128/group_049-064/061_贪食鼹.png
062,巨噬针鼹,group_049-064,001-064,4,14,,"[1133, 1384, 1245, 1496]",raw_crops/group_049-064/062_巨噬针鼹.png,icons_128/group_049-064/062_巨噬针鼹.png
063,蹦蹦种子,group_049-064,001-064,4,15,,"[1142, 1497, 1245, 1600]",raw_crops/group_049-064/063_蹦蹦种子.png,icons_128/group_049-064/063_蹦蹦种子.png
064,蹦蹦草,group_049-064,001-064,4,16,,"[1138, 1594, 1250, 1706]",raw_crops/group_049-064/064_蹦蹦草.png,icons_128/group_049-064/064_蹦蹦草.png
065,蹦蹦花,group_065-080,065-128,1,1,"[287, 64]","[225, 2, 349, 126]",raw_crops/group_065-080/065_蹦蹦花.png,icons_128/group_065-080/065_蹦蹦花.png
066,电咩咩,group_065-080,065-128,1,2,"[287, 192]","[225, 130, 349, 254]",raw_crops/group_065-080/066_电咩咩.png,icons_128/group_065-080/066_电咩咩.png
067,粉咩咩,group_065-080,065-128,1,3,"[287, 320]","[225, 258, 349, 382]",raw_crops/group_065-080/067_粉咩咩.png,icons_128/group_065-080/067_粉咩咩.png
068,电球咩咩,group_065-080,065-128,1,4,"[287, 448]","[225, 386, 349, 510]",raw_crops/group_065-080/068_电球咩咩.png,icons_128/group_065-080/068_电球咩咩.png
069,蒲公英,group_065-080,065-128,1,5,"[287, 576]","[225, 514, 349, 638]",raw_crops/group_065-080/069_蒲公英.png,icons_128/group_065-080/069_蒲公英.png
070,蒲公英娃娃,group_065-080,065-128,1,6,"[287, 704]","[225, 642, 349, 766]",raw_crops/group_065-080/070_蒲公英娃娃.png,icons_128/group_065-080/070_蒲公英娃娃.png
071,伊贝儿,group_065-080,065-128,1,7,"[287, 832]","[225, 770, 349, 894]",raw_crops/group_065-080/071_伊贝儿.png,icons_128/group_065-080/071_伊贝儿.png
072,伊贝粉粉,group_065-080,065-128,1,8,"[287, 960]","[225, 898, 349, 1022]",raw_crops/group_065-080/072_伊贝粉粉.png,icons_128/group_065-080/072_伊贝粉粉.png
073,白发懒人,group_065-080,065-128,1,9,"[287, 1088]","[225, 1026, 349, 1150]",raw_crops/group_065-080/073_白发懒人.png,icons_128/group_065-080/073_白发懒人.png
074,动力猿,group_065-080,065-128,1,10,"[287, 1216]","[225, 1154, 349, 1278]",raw_crops/group_065-080/074_动力猿.png,icons_128/group_065-080/074_动力猿.png
075,瞌睡王,group_065-080,065-128,1,11,"[287, 1344]","[225, 1282, 349, 1406]",raw_crops/group_065-080/075_瞌睡王.png,icons_128/group_065-080/075_瞌睡王.png
076,海盔虫,group_065-080,065-128,1,12,"[287, 1472]","[225, 1410, 349, 1534]",raw_crops/group_065-080/076_海盔虫.png,icons_128/group_065-080/076_海盔虫.png
077,刺盔虫,group_065-080,065-128,1,13,"[287, 1600]","[225, 1538, 349, 1662]",raw_crops/group_065-080/077_刺盔虫.png,icons_128/group_065-080/077_刺盔虫.png
078,千棘盔,group_065-080,065-128,1,14,"[287, 1728]","[225, 1666, 349, 1790]",raw_crops/group_065-080/078_千棘盔.png,icons_128/group_065-080/078_千棘盔.png
079,菊花梨,group_065-080,065-128,1,15,"[287, 1856]","[225, 1794, 349, 1918]",raw_crops/group_065-080/079_菊花梨.png,icons_128/group_065-080/079_菊花梨.png
080,小星光,group_065-080,065-128,1,16,"[287, 1984]","[225, 1922, 349, 2046]",raw_crops/group_065-080/080_小星光.png,icons_128/group_065-080/080_小星光.png
081,星光狮,group_081-096,065-128,2,1,"[674, 64]","[612, 2, 736, 126]",raw_crops/group_081-096/081_星光狮.png,icons_128/group_081-096/081_星光狮.png
082,一窝蜂,group_081-096,065-128,2,2,"[674, 192]","[612, 130, 736, 254]",raw_crops/group_081-096/082_一窝蜂.png,icons_128/group_081-096/082_一窝蜂.png
083,黄蜂后,group_081-096,065-128,2,3,"[674, 320]","[612, 258, 736, 382]",raw_crops/group_081-096/083_黄蜂后.png,icons_128/group_081-096/083_黄蜂后.png
084,花魁蜂后,group_081-096,065-128,2,4,"[674, 448]","[612, 386, 736, 510]",raw_crops/group_081-096/084_花魁蜂后.png,icons_128/group_081-096/084_花魁蜂后.png
085,小夜,group_081-096,065-128,2,5,"[674, 576]","[612, 514, 736, 638]",raw_crops/group_081-096/085_小夜.png,icons_128/group_081-096/085_小夜.png
086,紫夜,group_081-096,065-128,2,6,"[674, 704]","[612, 642, 736, 766]",raw_crops/group_081-096/086_紫夜.png,icons_128/group_081-096/086_紫夜.png
087,朔夜伊芙,group_081-096,065-128,2,7,"[674, 832]","[612, 770, 736, 894]",raw_crops/group_081-096/087_朔夜伊芙.png,icons_128/group_081-096/087_朔夜伊芙.png
088,乖乖鹄,group_081-096,065-128,2,8,"[674, 960]","[612, 898, 736, 1022]",raw_crops/group_081-096/088_乖乖鹄.png,icons_128/group_081-096/088_乖乖鹄.png
089,蓝珠天鹅,group_081-096,065-128,2,9,"[674, 1088]","[612, 1026, 736, 1150]",raw_crops/group_081-096/089_蓝珠天鹅.png,icons_128/group_081-096/089_蓝珠天鹅.png
090,翠顶夫人,group_081-096,065-128,2,10,"[674, 1216]","[612, 1154, 736, 1278]",raw_crops/group_081-096/090_翠顶夫人.png,icons_128/group_081-096/090_翠顶夫人.png
091,黑羽夫人,group_081-096,065-128,2,11,"[674, 1344]","[612, 1282, 736, 1406]",raw_crops/group_081-096/091_黑羽夫人.png,icons_128/group_081-096/091_黑羽夫人.png
092,锤头鹳,group_081-096,065-128,2,12,"[674, 1472]","[612, 1410, 736, 1534]",raw_crops/group_081-096/092_锤头鹳.png,icons_128/group_081-096/092_锤头鹳.png
093,绿草精灵,group_081-096,065-128,2,13,"[674, 1600]","[612, 1538, 736, 1662]",raw_crops/group_081-096/093_绿草精灵.png,icons_128/group_081-096/093_绿草精灵.png
094,魔草巫灵,group_081-096,065-128,2,14,"[674, 1728]","[612, 1666, 736, 1790]",raw_crops/group_081-096/094_魔草巫灵.png,icons_128/group_081-096/094_魔草巫灵.png
095,记忆石,group_081-096,065-128,2,15,"[674, 1856]","[612, 1794, 736, 1918]",raw_crops/group_081-096/095_记忆石.png,icons_128/group_081-096/095_记忆石.png
096,咔咔羽毛,group_081-096,065-128,2,16,"[674, 1984]","[612, 1922, 736, 2046]",raw_crops/group_081-096/096_咔咔羽毛.png,icons_128/group_081-096/096_咔咔羽毛.png
097,咔咔雀,group_097-112,065-128,3,1,"[1055, 64]","[993, 2, 1117, 126]",raw_crops/group_097-112/097_咔咔雀.png,icons_128/group_097-112/097_咔咔雀.png
098,咔咔鸟,group_097-112,065-128,3,2,"[1055, 192]","[993, 130, 1117, 254]",raw_crops/group_097-112/098_咔咔鸟.png,icons_128/group_097-112/098_咔咔鸟.png
099,小草虫,group_097-112,065-128,3,3,"[1055, 320]","[993, 258, 1117, 382]",raw_crops/group_097-112/099_小草虫.png,icons_128/group_097-112/099_小草虫.png
100,草衣虫,group_097-112,065-128,3,4,"[1055, 448]","[993, 386, 1117, 510]",raw_crops/group_097-112/100_草衣虫.png,icons_128/group_097-112/100_草衣虫.png
101,花衣蝶,group_097-112,065-128,3,5,"[1055, 576]","[993, 514, 1117, 638]",raw_crops/group_097-112/101_花衣蝶.png,icons_128/group_097-112/101_花衣蝶.png
102,绿翼鸟,group_097-112,065-128,3,6,"[1055, 704]","[993, 642, 1117, 766]",raw_crops/group_097-112/102_绿翼鸟.png,icons_128/group_097-112/102_绿翼鸟.png
103,魔翼鸟,group_097-112,065-128,3,7,"[1055, 832]","[993, 770, 1117, 894]",raw_crops/group_097-112/103_魔翼鸟.png,icons_128/group_097-112/103_魔翼鸟.png
104,魔眷鸟,group_097-112,065-128,3,8,"[1055, 960]","[993, 898, 1117, 1022]",raw_crops/group_097-112/104_魔眷鸟.png,icons_128/group_097-112/104_魔眷鸟.png
105,阿米亚特,group_097-112,065-128,3,9,"[1055, 1088]","[993, 1026, 1117, 1150]",raw_crops/group_097-112/105_阿米亚特.png,icons_128/group_097-112/105_阿米亚特.png
106,阿米樱,group_097-112,065-128,3,10,"[1055, 1216]","[993, 1154, 1117, 1278]",raw_crops/group_097-112/106_阿米樱.png,icons_128/group_097-112/106_阿米樱.png
107,罗隐,group_097-112,065-128,3,11,"[1055, 1344]","[993, 1282, 1117, 1406]",raw_crops/group_097-112/107_罗隐.png,icons_128/group_097-112/107_罗隐.png
108,风铃鲨,group_097-112,065-128,3,12,"[1055, 1472]","[993, 1410, 1117, 1534]",raw_crops/group_097-112/108_风铃鲨.png,icons_128/group_097-112/108_风铃鲨.png
109,蓝蝶鲨,group_097-112,065-128,3,13,"[1055, 1600]","[993, 1538, 1117, 1662]",raw_crops/group_097-112/109_蓝蝶鲨.png,icons_128/group_097-112/109_蓝蝶鲨.png
110,彩蝶鲨,group_097-112,065-128,3,14,"[1055, 1728]","[993, 1666, 1117, 1790]",raw_crops/group_097-112/110_彩蝶鲨.png,icons_128/group_097-112/110_彩蝶鲨.png
111,石石,group_097-112,065-128,3,15,"[1055, 1856]","[993, 1794, 1117, 1918]",raw_crops/group_097-112/111_石石.png,icons_128/group_097-112/111_石石.png
112,巨灵石,group_097-112,065-128,3,16,"[1055, 1984]","[993, 1922, 1117, 2046]",raw_crops/group_097-112/112_巨灵石.png,icons_128/group_097-112/112_巨灵石.png
113,仪使者,group_113-128,065-128,4,1,"[1429, 64]","[1367, 2, 1491, 126]",raw_crops/group_113-128/113_仪使者.png,icons_128/group_113-128/113_仪使者.png
114,仪式之星,group_113-128,065-128,4,2,"[1429, 192]","[1367, 130, 1491, 254]",raw_crops/group_113-128/114_仪式之星.png,icons_128/group_113-128/114_仪式之星.png
115,仪式巨像,group_113-128,065-128,4,3,"[1429, 320]","[1367, 258, 1491, 382]",raw_crops/group_113-128/115_仪式巨像.png,icons_128/group_113-128/115_仪式巨像.png
116,小独角兽,group_113-128,065-128,4,4,"[1429, 448]","[1367, 386, 1491, 510]",raw_crops/group_113-128/116_小独角兽.png,icons_128/group_113-128/116_小独角兽.png
117,白金独角兽,group_113-128,065-128,4,5,"[1429, 576]","[1367, 514, 1491, 638]",raw_crops/group_113-128/117_白金独角兽.png,icons_128/group_113-128/117_白金独角兽.png
118,旋叶虫,group_113-128,065-128,4,6,"[1429, 704]","[1367, 642, 1491, 766]",raw_crops/group_113-128/118_旋叶虫.png,icons_128/group_113-128/118_旋叶虫.png
119,蓬叶虫,group_113-128,065-128,4,7,"[1429, 832]","[1367, 770, 1491, 894]",raw_crops/group_113-128/119_蓬叶虫.png,icons_128/group_113-128/119_蓬叶虫.png
120,风滚暮虫,group_113-128,065-128,4,8,"[1429, 960]","[1367, 898, 1491, 1022]",raw_crops/group_113-128/120_风滚暮虫.png,icons_128/group_113-128/120_风滚暮虫.png
121,小黑猫,group_113-128,065-128,4,9,"[1429, 1088]","[1367, 1026, 1491, 1150]",raw_crops/group_113-128/121_小黑猫.png,icons_128/group_113-128/121_小黑猫.png
122,黑猫巫师,group_113-128,065-128,4,10,"[1429, 1216]","[1367, 1154, 1491, 1278]",raw_crops/group_113-128/122_黑猫巫师.png,icons_128/group_113-128/122_黑猫巫师.png
123,忽幽狸,group_113-128,065-128,4,11,"[1429, 1344]","[1367, 1282, 1491, 1406]",raw_crops/group_113-128/123_忽幽狸.png,icons_128/group_113-128/123_忽幽狸.png
124,影狸,group_113-128,065-128,4,12,"[1429, 1472]","[1367, 1410, 1491, 1534]",raw_crops/group_113-128/124_影狸.png,icons_128/group_113-128/124_影狸.png
125,多多,group_113-128,065-128,4,13,"[1429, 1600]","[1367, 1538, 1491, 1662]",raw_crops/group_113-128/125_多多.png,icons_128/group_113-128/125_多多.png
126,多啦多,group_113-128,065-128,4,14,"[1429, 1728]","[1367, 1666, 1491, 1790]",raw_crops/group_113-128/126_多啦多.png,icons_128/group_113-128/126_多啦多.png
127,古啦多,group_113-128,065-128,4,15,"[1429, 1856]","[1367, 1794, 1491, 1918]",raw_crops/group_113-128/127_古啦多.png,icons_128/group_113-128/127_古啦多.png
128,哭哭菇,group_113-128,065-128,4,16,"[1429, 1984]","[1367, 1922, 1491, 2046]",raw_crops/group_113-128/128_哭哭菇.png,icons_128/group_113-128/128_哭哭菇.png
129,怖须菇,group_129-144,129-192,1,1,"[283, 64]","[221, 2, 345, 126]",raw_crops/group_129-144/129_怖须菇.png,icons_128/group_129-144/129_怖须菇.png
130,怖哭菇,group_129-144,129-192,1,2,"[283, 192]","[221, 130, 345, 254]",raw_crops/group_129-144/130_怖哭菇.png,icons_128/group_129-144/130_怖哭菇.png
131,恶魔狼,group_129-144,129-192,1,3,"[283, 320]","[221, 258, 345, 382]",raw_crops/group_129-144/131_恶魔狼.png,icons_128/group_129-144/131_恶魔狼.png
132,小电企鹅,group_129-144,129-192,1,4,"[283, 448]","[221, 386, 345, 510]",raw_crops/group_129-144/132_小电企鹅.png,icons_128/group_129-144/132_小电企鹅.png
133,电企鹅,group_129-144,129-192,1,5,"[283, 576]","[221, 514, 345, 638]",raw_crops/group_129-144/133_电企鹅.png,icons_128/group_129-144/133_电企鹅.png
134,雪豆丁,group_129-144,129-192,1,6,"[283, 704]","[221, 642, 345, 766]",raw_crops/group_129-144/134_雪豆丁.png,icons_128/group_129-144/134_雪豆丁.png
135,雪蛮人,group_129-144,129-192,1,7,"[283, 832]","[221, 770, 345, 894]",raw_crops/group_129-144/135_雪蛮人.png,icons_128/group_129-144/135_雪蛮人.png
136,雪巨人,group_129-144,129-192,1,8,"[283, 960]","[221, 898, 345, 1022]",raw_crops/group_129-144/136_雪巨人.png,icons_128/group_129-144/136_雪巨人.png
137,呼呼猪,group_129-144,129-192,1,9,"[283, 1088]","[221, 1026, 345, 1150]",raw_crops/group_129-144/137_呼呼猪.png,icons_128/group_129-144/137_呼呼猪.png
138,獠牙猪,group_129-144,129-192,1,10,"[283, 1216]","[221, 1154, 345, 1278]",raw_crops/group_129-144/138_獠牙猪.png,icons_128/group_129-144/138_獠牙猪.png
139,雪娃娃,group_129-144,129-192,1,11,"[283, 1344]","[221, 1282, 345, 1406]",raw_crops/group_129-144/139_雪娃娃.png,icons_128/group_129-144/139_雪娃娃.png
140,冰封怨灵,group_129-144,129-192,1,12,"[283, 1472]","[221, 1410, 345, 1534]",raw_crops/group_129-144/140_冰封怨灵.png,icons_128/group_129-144/140_冰封怨灵.png
141,雪灵,group_129-144,129-192,1,13,"[283, 1600]","[221, 1538, 345, 1662]",raw_crops/group_129-144/141_雪灵.png,icons_128/group_129-144/141_雪灵.png
142,大耳帽兜,group_129-144,129-192,1,14,"[283, 1728]","[221, 1666, 345, 1790]",raw_crops/group_129-144/142_大耳帽兜.png,icons_128/group_129-144/142_大耳帽兜.png
143,帽兜娃娃,group_129-144,129-192,1,15,"[283, 1856]","[221, 1794, 345, 1918]",raw_crops/group_129-144/143_帽兜娃娃.png,icons_128/group_129-144/143_帽兜娃娃.png
144,雪影娃娃,group_129-144,129-192,1,16,"[283, 1984]","[221, 1922, 345, 2046]",raw_crops/group_129-144/144_雪影娃娃.png,icons_128/group_129-144/144_雪影娃娃.png
145,权杖-Ⅱ,group_145-160,129-192,2,1,"[660, 64]","[598, 2, 722, 126]",raw_crops/group_145-160/145_权杖-Ⅱ.png,icons_128/group_145-160/145_权杖-Ⅱ.png
146,权杖-V,group_145-160,129-192,2,2,"[660, 192]","[598, 130, 722, 254]",raw_crops/group_145-160/146_权杖-V.png,icons_128/group_145-160/146_权杖-V.png
147,灵狐,group_145-160,129-192,2,3,"[660, 320]","[598, 258, 722, 382]",raw_crops/group_145-160/147_灵狐.png,icons_128/group_145-160/147_灵狐.png
148,九尾狐,group_145-160,129-192,2,4,"[660, 448]","[598, 386, 722, 510]",raw_crops/group_145-160/148_九尾狐.png,icons_128/group_145-160/148_九尾狐.png
149,尖嘴狐仙,group_145-160,129-192,2,5,"[660, 576]","[598, 514, 722, 638]",raw_crops/group_145-160/149_尖嘴狐仙.png,icons_128/group_145-160/149_尖嘴狐仙.png
150,里奥,group_145-160,129-192,2,6,"[660, 704]","[598, 642, 722, 766]",raw_crops/group_145-160/150_里奥.png,icons_128/group_145-160/150_里奥.png
151,灵羽勇士,group_145-160,129-192,2,7,"[660, 832]","[598, 770, 722, 894]",raw_crops/group_145-160/151_灵羽勇士.png,icons_128/group_145-160/151_灵羽勇士.png
152,圣羽翼王,group_145-160,129-192,2,8,"[660, 960]","[598, 898, 722, 1022]",raw_crops/group_145-160/152_圣羽翼王.png,icons_128/group_145-160/152_圣羽翼王.png
153,松仔,group_145-160,129-192,2,9,"[660, 1088]","[598, 1026, 722, 1150]",raw_crops/group_145-160/153_松仔.png,icons_128/group_145-160/153_松仔.png
154,松叶羊,group_145-160,129-192,2,10,"[660, 1216]","[598, 1154, 722, 1278]",raw_crops/group_145-160/154_松叶羊.png,icons_128/group_145-160/154_松叶羊.png
155,针叶巡林,group_145-160,129-192,2,11,"[660, 1344]","[598, 1282, 722, 1406]",raw_crops/group_145-160/155_针叶巡林.png,icons_128/group_145-160/155_针叶巡林.png
156,小勇狮,group_145-160,129-192,2,12,"[660, 1472]","[598, 1410, 722, 1534]",raw_crops/group_145-160/156_小勇狮.png,icons_128/group_145-160/156_小勇狮.png
157,炽焰狮,group_145-160,129-192,2,13,"[660, 1600]","[598, 1538, 722, 1662]",raw_crops/group_145-160/157_炽焰狮.png,icons_128/group_145-160/157_炽焰狮.png
158,炽心勇狮,group_145-160,129-192,2,14,"[660, 1728]","[598, 1666, 722, 1790]",raw_crops/group_145-160/158_炽心勇狮.png,icons_128/group_145-160/158_炽心勇狮.png
